"question","answer","category"
"社内ポータルIDのグループメンバーに追加されていません","申請承認状況を確認し、未反映であればグループ同期または手動追加を行います。","アカウント管理"
"社内ポータルIDを削除してほしいです","対象アカウントの用途と退職・異動情報を確認後、関連データ保全を行ってから削除します。","アカウント管理"
"Windows 11ノートPCの電源が入りません","ACアダプタ接続、電源ランプ、ドッキングステーション有無を確認してください。改善しない場合は交換または修理を手配します。","PC本体"
"Windows 11ノートPCの起動に時間がかかります","スタートアップアプリや更新処理が原因の可能性があります。タスクマネージャー確認後、不要常駐を停止してください。","PC本体"
"Windows 11ノートPCが頻繁にフリーズします","イベントログとハードウェア診断を実施します。発生時刻と実行中アプリを共有してください。","PC本体"
"Windows 11ノートPCでブルースクリーンが発生しました","停止コードの写真を保存し、再起動後に情シスへ連絡してください。ドライバーまたはメモリ障害を確認します。","PC本体"
"Windows 11ノートPCのディスク容量が不足しています","ダウンロード、デスクトップ、大容量一時ファイルを整理してください。必要に応じて容量拡張を検討します。","PC本体"
"Windows 11ノートPCのファン音が大きいです","通気口清掃と高負荷アプリの確認を行ってください。継続する場合は内部清掃または部品交換を行います。","PC本体"
"Windows 11ノートPCが再起動を繰り返します","Windows更新失敗またはハード障害の可能性があります。セーフモード起動可否を確認してください。","PC本体"
"Windows 11ノートPCが勝手にスリープします","電源設定とバッテリー節約設定を確認してください。ドッキング時のポリシーもあわせて確認します。","PC本体"
"Windows 11ノートPCでBitLocker回復キーを求められます","端末所有者確認後に回復キーを案内します。画面に表示されているキーIDをお知らせください。","PC本体"
"Windows 11ノートPCを初期化したいです","業務データのバックアップ有無を確認後、標準イメージで再セットアップします。","PC本体"
"デスクトップPCの電源が入りません","ACアダプタ接続、電源ランプ、ドッキングステーション有無を確認してください。改善しない場合は交換または修理を手配します。","PC本体"
"デスクトップPCの起動に時間がかかります","スタートアップアプリや更新処理が原因の可能性があります。タスクマネージャー確認後、不要常駐を停止してください。","PC本体"
"デスクトップPCが頻繁にフリーズします","イベントログとハードウェア診断を実施します。発生時刻と実行中アプリを共有してください。","PC本体"
"デスクトップPCでブルースクリーンが発生しました","停止コードの写真を保存し、再起動後に情シスへ連絡してください。ドライバーまたはメモリ障害を確認します。","PC本体"
"デスクトップPCのディスク容量が不足しています","ダウンロード、デスクトップ、大容量一時ファイルを整理してください。必要に応じて容量拡張を検討します。","PC本体"
"デスクトップPCのファン音が大きいです","通気口清掃と高負荷アプリの確認を行ってください。継続する場合は内部清掃または部品交換を行います。","PC本体"
"デスクトップPCが再起動を繰り返します","Windows更新失敗またはハード障害の可能性があります。セーフモード起動可否を確認してください。","PC本体"
"デスクトップPCが勝手にスリープします","電源設定とバッテリー節約設定を確認してください。ドッキング時のポリシーもあわせて確認します。","PC本体"
"デスクトップPCでBitLocker回復キーを求められます","端末所有者確認後に回復キーを案内します。画面に表示されているキーIDをお知らせください。","PC本体"
"デスクトップPCを初期化したいです","業務データのバックアップ有無を確認後、標準イメージで再セットアップします。","PC本体"
"貸与ノートPCの電源が入りません","ACアダプタ接続、電源ランプ、ドッキングステーション有無を確認してください。改善しない場合は交換または修理を手配します。","PC本体"
"貸与ノートPCの起動に時間がかかります","スタートアップアプリや更新処理が原因の可能性があります。タスクマネージャー確認後、不要常駐を停止してください。","PC本体"
"貸与ノートPCが頻繁にフリーズします","イベントログとハードウェア診断を実施します。発生時刻と実行中アプリを共有してください。","PC本体"
"貸与ノートPCでブルースクリーンが発生しました","停止コードの写真を保存し、再起動後に情シスへ連絡してください。ドライバーまたはメモリ障害を確認します。","PC本体"
"貸与ノートPCのディスク容量が不足しています","ダウンロード、デスクトップ、大容量一時ファイルを整理してください。必要に応じて容量拡張を検討します。","PC本体"
"貸与ノートPCのファン音が大きいです","通気口清掃と高負荷アプリの確認を行ってください。継続する場合は内部清掃または部品交換を行います。","PC本体"
"貸与ノートPCが再起動を繰り返します","Windows更新失敗またはハード障害の可能性があります。セーフモード起動可否を確認してください。","PC本体"
"貸与ノートPCが勝手にスリープします","電源設定とバッテリー節約設定を確認してください。ドッキング時のポリシーもあわせて確認します。","PC本体"
"貸与ノートPCでBitLocker回復キーを求められます","端末所有者確認後に回復キーを案内します。画面に表示されているキーIDをお知らせください。","PC本体"
"貸与ノートPCを初期化したいです","業務データのバックアップ有無を確認後、標準イメージで再セットアップします。","PC本体"
"開発用PCの電源が入りません","ACアダプタ接続、電源ランプ、ドッキングステーション有無を確認してください。改善しない場合は交換または修理を手配します。","PC本体"
"開発用PCの起動に時間がかかります","スタートアップアプリや更新処理が原因の可能性があります。タスクマネージャー確認後、不要常駐を停止してください。","PC本体"
"開発用PCが頻繁にフリーズします","イベントログとハードウェア診断を実施します。発生時刻と実行中アプリを共有してください。","PC本体"
"開発用PCでブルースクリーンが発生しました","停止コードの写真を保存し、再起動後に情シスへ連絡してください。ドライバーまたはメモリ障害を確認します。","PC本体"
"開発用PCのディスク容量が不足しています","ダウンロード、デスクトップ、大容量一時ファイルを整理してください。必要に応じて容量拡張を検討します。","PC本体"
"開発用PCのファン音が大きいです","通気口清掃と高負荷アプリの確認を行ってください。継続する場合は内部清掃または部品交換を行います。","PC本体"
"開発用PCが再起動を繰り返します","Windows更新失敗またはハード障害の可能性があります。セーフモード起動可否を確認してください。","PC本体"
"開発用PCが勝手にスリープします","電源設定とバッテリー節約設定を確認してください。ドッキング時のポリシーもあわせて確認します。","PC本体"
"開発用PCでBitLocker回復キーを求められます","端末所有者確認後に回復キーを案内します。画面に表示されているキーIDをお知らせください。","PC本体"
"開発用PCを初期化したいです","業務データのバックアップ有無を確認後、標準イメージで再セットアップします。","PC本体"
"営業用PCの電源が入りません","ACアダプタ接続、電源ランプ、ドッキングステーション有無を確認してください。改善しない場合は交換または修理を手配します。","PC本体"
"営業用PCの起動に時間がかかります","スタートアップアプリや更新処理が原因の可能性があります。タスクマネージャー確認後、不要常駐を停止してください。","PC本体"
"営業用PCが頻繁にフリーズします","イベントログとハードウェア診断を実施します。発生時刻と実行中アプリを共有してください。","PC本体"
"営業用PCでブルースクリーンが発生しました","停止コードの写真を保存し、再起動後に情シスへ連絡してください。ドライバーまたはメモリ障害を確認します。","PC本体"
"営業用PCのディスク容量が不足しています","ダウンロード、デスクトップ、大容量一時ファイルを整理してください。必要に応じて容量拡張を検討します。","PC本体"
"営業用PCのファン音が大きいです","通気口清掃と高負荷アプリの確認を行ってください。継続する場合は内部清掃または部品交換を行います。","PC本体"
"営業用PCが再起動を繰り返します","Windows更新失敗またはハード障害の可能性があります。セーフモード起動可否を確認してください。","PC本体"
"営業用PCが勝手にスリープします","電源設定とバッテリー節約設定を確認してください。ドッキング時のポリシーもあわせて確認します。","PC本体"
"営業用PCでBitLocker回復キーを求められます","端末所有者確認後に回復キーを案内します。画面に表示されているキーIDをお知らせください。","PC本体"
"営業用PCを初期化したいです","業務データのバックアップ有無を確認後、標準イメージで再セットアップします。","PC本体"
"外部モニターが認識されません","接続ポート変更、再接続、別端末での切り分けを行ってください。","周辺機器"
"外部モニターの接続が不安定です","ケーブル断線やドライバー不整合の可能性があります。予備機で確認します。","周辺機器"
"外部モニターの音量調整ができません","OS側の既定デバイス設定を確認し、対象機器が選択されているか確認してください。","周辺機器"
"外部モニターのドライバーを入れたいです","管理者権限が必要な場合があります。機器型番を添えて申請してください。","周辺機器"
"外部モニターが会議アプリで使えません","Teams/Zoom側のデバイス設定で該当機器が選択されているか確認してください。","周辺機器"
"外部モニターの映像が映りません","プライバシーシャッター、USB帯域、アプリ権限を確認してください。","周辺機器"
"外部モニターのボタン割り当てを変更したいです","専用ユーティリティの導入可否を確認します。標準ドライバーでは変更できない場合があります。","周辺機器"
"外部モニターの解像度が合いません","ディスプレイ設定の推奨解像度を選択してください。変換アダプタ使用時は対応解像度も確認します。","周辺機器"
"外部モニターが充電されません","充電式機器はケーブル・電源供給元を確認してください。電池式の場合は新品に交換してください。","周辺機器"
"外部モニターを交換したいです","故障状況と在庫を確認し、保証期間内であれば交換手配します。","周辺機器"
"USBキーボードが認識されません","接続ポート変更、再接続、別端末での切り分けを行ってください。","周辺機器"
"USBキーボードの接続が不安定です","ケーブル断線やドライバー不整合の可能性があります。予備機で確認します。","周辺機器"
"USBキーボードの音量調整ができません","OS側の既定デバイス設定を確認し、対象機器が選択されているか確認してください。","周辺機器"
"USBキーボードのドライバーを入れたいです","管理者権限が必要な場合があります。機器型番を添えて申請してください。","周辺機器"
"USBキーボードが会議アプリで使えません","Teams/Zoom側のデバイス設定で該当機器が選択されているか確認してください。","周辺機器"
"USBキーボードの映像が映りません","プライバシーシャッター、USB帯域、アプリ権限を確認してください。","周辺機器"
"USBキーボードのボタン割り当てを変更したいです","専用ユーティリティの導入可否を確認します。標準ドライバーでは変更できない場合があります。","周辺機器"
"USBキーボードの解像度が合いません","ディスプレイ設定の推奨解像度を選択してください。変換アダプタ使用時は対応解像度も確認します。","周辺機器"
"USBキーボードが充電されません","充電式機器はケーブル・電源供給元を確認してください。電池式の場合は新品に交換してください。","周辺機器"
"USBキーボードを交換したいです","故障状況と在庫を確認し、保証期間内であれば交換手配します。","周辺機器"
"Bluetoothマウスが認識されません","接続ポート変更、再接続、別端末での切り分けを行ってください。","周辺機器"
"Bluetoothマウスの接続が不安定です","ケーブル断線やドライバー不整合の可能性があります。予備機で確認します。","周辺機器"
"Bluetoothマウスの音量調整ができません","OS側の既定デバイス設定を確認し、対象機器が選択されているか確認してください。","周辺機器"
"Bluetoothマウスのドライバーを入れたいです","管理者権限が必要な場合があります。機器型番を添えて申請してください。","周辺機器"
"Bluetoothマウスが会議アプリで使えません","Teams/Zoom側のデバイス設定で該当機器が選択されているか確認してください。","周辺機器"
"Bluetoothマウスの映像が映りません","プライバシーシャッター、USB帯域、アプリ権限を確認してください。","周辺機器"
"Bluetoothマウスのボタン割り当てを変更したいです","専用ユーティリティの導入可否を確認します。標準ドライバーでは変更できない場合があります。","周辺機器"
"Bluetoothマウスの解像度が合いません","ディスプレイ設定の推奨解像度を選択してください。変換アダプタ使用時は対応解像度も確認します。","周辺機器"
"Bluetoothマウスが充電されません","充電式機器はケーブル・電源供給元を確認してください。電池式の場合は新品に交換してください。","周辺機器"
"Bluetoothマウスを交換したいです","故障状況と在庫を確認し、保証期間内であれば交換手配します。","周辺機器"
"Webカメラが認識されません","接続ポート変更、再接続、別端末での切り分けを行ってください。","周辺機器"
"Webカメラの接続が不安定です","ケーブル断線やドライバー不整合の可能性があります。予備機で確認します。","周辺機器"
"Webカメラの音量調整ができません","OS側の既定デバイス設定を確認し、対象機器が選択されているか確認してください。","周辺機器"
"Webカメラのドライバーを入れたいです","管理者権限が必要な場合があります。機器型番を添えて申請してください。","周辺機器"
"Webカメラが会議アプリで使えません","Teams/Zoom側のデバイス設定で該当機器が選択されているか確認してください。","周辺機器"
"Webカメラの映像が映りません","プライバシーシャッター、USB帯域、アプリ権限を確認してください。","周辺機器"
"Webカメラのボタン割り当てを変更したいです","専用ユーティリティの導入可否を確認します。標準ドライバーでは変更できない場合があります。","周辺機器"
"Webカメラの解像度が合いません","ディスプレイ設定の推奨解像度を選択してください。変換アダプタ使用時は対応解像度も確認します。","周辺機器"
"Webカメラが充電されません","充電式機器はケーブル・電源供給元を確認してください。電池式の場合は新品に交換してください。","周辺機器"
"Webカメラを交換したいです","故障状況と在庫を確認し、保証期間内であれば交換手配します。","周辺機器"
"USBヘッドセットが認識されません","接続ポート変更、再接続、別端末での切り分けを行ってください。","周辺機器"
"USBヘッドセットの接続が不安定です","ケーブル断線やドライバー不整合の可能性があります。予備機で確認します。","周辺機器"
"USBヘッドセットの音量調整ができません","OS側の既定デバイス設定を確認し、対象機器が選択されているか確認してください。","周辺機器"
"USBヘッドセットのドライバーを入れたいです","管理者権限が必要な場合があります。機器型番を添えて申請してください。","周辺機器"
"USBヘッドセットが会議アプリで使えません","Teams/Zoom側のデバイス設定で該当機器が選択されているか確認してください。","周辺機器"
"USBヘッドセットの映像が映りません","プライバシーシャッター、USB帯域、アプリ権限を確認してください。","周辺機器"
"USBヘッドセットのボタン割り当てを変更したいです","専用ユーティリティの導入可否を確認します。標準ドライバーでは変更できない場合があります。","周辺機器"
"USBヘッドセットの解像度が合いません","ディスプレイ設定の推奨解像度を選択してください。変換アダプタ使用時は対応解像度も確認します。","周辺機器"
"USBヘッドセットが充電されません","充電式機器はケーブル・電源供給元を確認してください。電池式の場合は新品に交換してください。","周辺機器"
"USBヘッドセットを交換したいです","故障状況と在庫を確認し、保証期間内であれば交換手配します。","周辺機器"
"社内Wi-Fiに接続できません","SSID・証明書・認証情報を確認してください。社外からは利用できない構成の場合があります。","ネットワーク"
"社内Wi-Fiの速度が遅いです","利用場所、時間帯、接続台数の影響を確認します。速度測定結果があれば共有してください。","ネットワーク"
"社内Wi-Fiが頻繁に切断されます","NICドライバー、ケーブル、AP切替の影響が考えられます。発生場所と頻度をお知らせください。","ネットワーク"
"社内Wi-Fi利用中にIPアドレス取得に失敗します","DHCP払い出し状況を確認します。いったん再接続し、改善しなければネットワーク設定を初期化してください。","ネットワーク"
"社内Wi-Fi経由で社内サイトが開けません","名前解決とルーティングを確認します。VPN接続後に再度ブラウザを開き直してください。","ネットワーク"
"社内Wi-Fiで認証エラーが表示されます","パスワード期限切れ、証明書失効、MFA失敗の可能性があります。エラー画面を共有してください。","ネットワーク"
"社内Wi-FiのDNS名前解決ができません","DNSサーバー設定を再取得し、nslookup結果を確認します。","ネットワーク"
"社内Wi-Fiの利用申請をしたいです","利用目的、接続元、期間を記載して申請してください。承認後に接続情報を案内します。","ネットワーク"
"社内Wi-Fiの利用制限を確認したいです","ネットワークセグメントごとに利用可能な宛先が異なります。必要な接続先をお知らせください。","ネットワーク"
"社内Wi-Fiの障害が発生しているか確認したいです","監視システムと障害連絡を確認します。拠点名と発生時刻を共有してください。","ネットワーク"
"ゲストWi-Fiに接続できません","SSID・証明書・認証情報を確認してください。社外からは利用できない構成の場合があります。","ネットワーク"
"ゲストWi-Fiの速度が遅いです","利用場所、時間帯、接続台数の影響を確認します。速度測定結果があれば共有してください。","ネットワーク"
"ゲストWi-Fiが頻繁に切断されます","NICドライバー、ケーブル、AP切替の影響が考えられます。発生場所と頻度をお知らせください。","ネットワーク"
"ゲストWi-Fi利用中にIPアドレス取得に失敗します","DHCP払い出し状況を確認します。いったん再接続し、改善しなければネットワーク設定を初期化してください。","ネットワーク"
"ゲストWi-Fi経由で社内サイトが開けません","名前解決とルーティングを確認します。VPN接続後に再度ブラウザを開き直してください。","ネットワーク"
"ゲストWi-Fiで認証エラーが表示されます","パスワード期限切れ、証明書失効、MFA失敗の可能性があります。エラー画面を共有してください。","ネットワーク"
"ゲストWi-FiのDNS名前解決ができません","DNSサーバー設定を再取得し、nslookup結果を確認します。","ネットワーク"
"ゲストWi-Fiの利用申請をしたいです","利用目的、接続元、期間を記載して申請してください。承認後に接続情報を案内します。","ネットワーク"
"ゲストWi-Fiの利用制限を確認したいです","ネットワークセグメントごとに利用可能な宛先が異なります。必要な接続先をお知らせください。","ネットワーク"
"ゲストWi-Fiの障害が発生しているか確認したいです","監視システムと障害連絡を確認します。拠点名と発生時刻を共有してください。","ネットワーク"
"有線LANに接続できません","SSID・証明書・認証情報を確認してください。社外からは利用できない構成の場合があります。","ネットワーク"
"有線LANの速度が遅いです","利用場所、時間帯、接続台数の影響を確認します。速度測定結果があれば共有してください。","ネットワーク"
"有線LANが頻繁に切断されます","NICドライバー、ケーブル、AP切替の影響が考えられます。発生場所と頻度をお知らせください。","ネットワーク"
"有線LAN利用中にIPアドレス取得に失敗します","DHCP払い出し状況を確認します。いったん再接続し、改善しなければネットワーク設定を初期化してください。","ネットワーク"
"有線LAN経由で社内サイトが開けません","名前解決とルーティングを確認します。VPN接続後に再度ブラウザを開き直してください。","ネットワーク"
"有線LANで認証エラーが表示されます","パスワード期限切れ、証明書失効、MFA失敗の可能性があります。エラー画面を共有してください。","ネットワーク"
"有線LANのDNS名前解決ができません","DNSサーバー設定を再取得し、nslookup結果を確認します。","ネットワーク"
"有線LANの利用申請をしたいです","利用目的、接続元、期間を記載して申請してください。承認後に接続情報を案内します。","ネットワーク"
"有線LANの利用制限を確認したいです","ネットワークセグメントごとに利用可能な宛先が異なります。必要な接続先をお知らせください。","ネットワーク"
"有線LANの障害が発生しているか確認したいです","監視システムと障害連絡を確認します。拠点名と発生時刻を共有してください。","ネットワーク"
"VPNに接続できません","SSID・証明書・認証情報を確認してください。社外からは利用できない構成の場合があります。","ネットワーク"
"VPNの速度が遅いです","利用場所、時間帯、接続台数の影響を確認します。速度測定結果があれば共有してください。","ネットワーク"
"VPNが頻繁に切断されます","NICドライバー、ケーブル、AP切替の影響が考えられます。発生場所と頻度をお知らせください。","ネットワーク"
"VPN利用中にIPアドレス取得に失敗します","DHCP払い出し状況を確認します。いったん再接続し、改善しなければネットワーク設定を初期化してください。","ネットワーク"
"VPN経由で社内サイトが開けません","名前解決とルーティングを確認します。VPN接続後に再度ブラウザを開き直してください。","ネットワーク"
"VPNで認証エラーが表示されます","パスワード期限切れ、証明書失効、MFA失敗の可能性があります。エラー画面を共有してください。","ネットワーク"
"VPNのDNS名前解決ができません","DNSサーバー設定を再取得し、nslookup結果を確認します。","ネットワーク"
"VPNの利用申請をしたいです","利用目的、接続元、期間を記載して申請してください。承認後に接続情報を案内します。","ネットワーク"
"VPNの利用制限を確認したいです","ネットワークセグメントごとに利用可能な宛先が異なります。必要な接続先をお知らせください。","ネットワーク"
"VPNの障害が発生しているか確認したいです","監視システムと障害連絡を確認します。拠点名と発生時刻を共有してください。","ネットワーク"
"拠点間ネットワークに接続できません","SSID・証明書・認証情報を確認してください。社外からは利用できない構成の場合があります。","ネットワーク"
"拠点間ネットワークの速度が遅いです","利用場所、時間帯、接続台数の影響を確認します。速度測定結果があれば共有してください。","ネットワーク"
"拠点間ネットワークが頻繁に切断されます","NICドライバー、ケーブル、AP切替の影響が考えられます。発生場所と頻度をお知らせください。","ネットワーク"
"拠点間ネットワーク利用中にIPアドレス取得に失敗します","DHCP払い出し状況を確認します。いったん再接続し、改善しなければネットワーク設定を初期化してください。","ネットワーク"
"拠点間ネットワーク経由で社内サイトが開けません","名前解決とルーティングを確認します。VPN接続後に再度ブラウザを開き直してください。","ネットワーク"
"拠点間ネットワークで認証エラーが表示されます","パスワード期限切れ、証明書失効、MFA失敗の可能性があります。エラー画面を共有してください。","ネットワーク"
"拠点間ネットワークのDNS名前解決ができません","DNSサーバー設定を再取得し、nslookup結果を確認します。","ネットワーク"
"拠点間ネットワークの利用申請をしたいです","利用目的、接続元、期間を記載して申請してください。承認後に接続情報を案内します。","ネットワーク"
"拠点間ネットワークの利用制限を確認したいです","ネットワークセグメントごとに利用可能な宛先が異なります。必要な接続先をお知らせください。","ネットワーク"
"拠点間ネットワークの障害が発生しているか確認したいです","監視システムと障害連絡を確認します。拠点名と発生時刻を共有してください。","ネットワーク"
"Outlookでメールを送信できません","送信制限、添付サイズ、ネットワーク接続を確認してください。NDRがある場合は内容を共有してください。","メール"
"Outlookでメールを受信できません","サーバー接続、迷惑メール振り分け、メールボックス容量を確認してください。","メール"
"Outlookが起動しません","Office修復またはプロファイル再作成で改善する場合があります。","メール"
"Outlookで検索結果が表示されません","インデックス再構築またはキャッシュモード設定を確認してください。","メール"
"Outlookの容量が上限に近いです","不要メール削除またはアーカイブを行ってください。必要に応じて容量拡張可否を確認します。","メール"
"Outlookで添付ファイルを開けません","拡張子制限、ダウンロード失敗、関連付けアプリ不足の可能性があります。","メール"
"Outlookの差出人名を変更したいです","個人メールと共有メールでは設定方法が異なります。対象メールボックス名をお知らせください。","メール"
"Outlookに自動返信を設定したいです","OutlookまたはWeb版の自動応答設定から期間と文面を指定してください。","メール"
"Outlookから特定の宛先へ送れません","外部ドメイン制限やアドレス誤りの可能性があります。宛先とエラーメッセージを共有してください。","メール"
"Outlookで既読/未読の同期がずれます","キャッシュ再同期またはモバイル側設定の見直しを行ってください。","メール"
"Exchangeメールボックスでメールを送信できません","送信制限、添付サイズ、ネットワーク接続を確認してください。NDRがある場合は内容を共有してください。","メール"
"Exchangeメールボックスでメールを受信できません","サーバー接続、迷惑メール振り分け、メールボックス容量を確認してください。","メール"
"Exchangeメールボックスが起動しません","Office修復またはプロファイル再作成で改善する場合があります。","メール"
