"faq_id","question","answer","intent","keywords","category","answer_format","enabled","updated_at","updated_by","note","required_keywords","exclude_keywords","ambiguity_keywords","prefer_candidate","auto_answer_allowed"
"FAQ-000011","OBIC管理の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式2_日々依頼系_システム作業申請書.xlsxでお願いします。」でお願いします。","OBIC管理に関する申請で使用する申請書式を確認したい","OBIC,オービック,OBIC管理,会計システム,業務システム,管理申請,権限,設定,申請書,書式,日々依頼系,書式2","申請書・業務","markdown","TRUE","2026-05-03 19:30:23","admin","12","OBIC","起案書、サイトアクセス許可、システム導入、アカウントロック、プリンタ、VPN、購買、購入、見積、稟議","","False","True"
"FAQ-000012","PC/Tel 設置・移動・撤去の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式2_日々依頼系_システム作業申請書.xlsxでお願いします。」でお願いします。","PCまたは電話機の設置・移動・撤去申請で使用する申請書式を確認したい","PC,パソコン,Tel,電話,電話機,設置,移動,撤去,端末移動,機器設置,申請書,書式,日々依頼系,書式2","申請書・PC/電話","markdown","TRUE","2026-05-03 19:30:23","admin","12","PC、電話機","アカウントロック、ロック、パスワード、VPN、プリンタ、メール、起案書、BitLocker回復キー、ブルースクリーン、ディスク容量、ファン音、再起動","","False","True"
"FAQ-000013","機器貸与の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式2_日々依頼系_システム作業申請書.xlsxでお願いします。」でお願いします。","機器貸与の申請で使用する申請書式を確認したい","機器貸与,貸出,貸与申請,機器レンタル,備品貸与,PC貸与,端末貸与,申請書,書式,日々依頼系,書式2","申請書・機器貸与","markdown","TRUE","2026-05-03 19:30:23","admin","12","機器貸与","起案書、サイトアクセス許可、システム導入、アカウントロック、プリンタ、VPN、購買、購入、見積、稟議","","False","True"
"FAQ-000014","アプリインストール依頼の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式2_日々依頼系_システム作業申請書.xlsxでお願いします。」でお願いします。","アプリインストール依頼で使用する申請書式を確認したい","アプリインストール,ソフトインストール,アプリ追加,ソフト追加,インストール依頼,アプリ利用,申請書,書式,日々依頼系,書式2","申請書・アプリ","markdown","TRUE","2026-05-03 19:30:23","admin","12","アプリインストール、インストール依頼","システム導入、起案書、サイトアクセス許可、プリンタ、VPN、パスワード、ロック","","False","True"
"FAQ-000015","回線/回線機器 設置・移動・撤去の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式2_日々依頼系_システム作業申請書.xlsxでお願いします。」でお願いします。","回線または回線機器の設置・移動・撤去申請で使用する申請書式を確認したい","回線,回線機器,ネットワーク機器,設置,移動,撤去,LAN,ルーター,スイッチ,申請書,書式,日々依頼系,書式2","申請書・ネットワーク","markdown","TRUE","2026-05-03 19:30:23","admin","12","回線機器、回線","プリンタ、印刷、メール、Outlook、パスワード、起案書、VPN、Wi-Fi、無線LAN、有線LAN、プロキシ","","False","True"
"FAQ-000016","サイトアクセス許可の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式2_日々依頼系_システム作業申請書.xlsxでお願いします。」でお願いします。","サイトアクセス許可の申請で使用する申請書式を確認したい","サイトアクセス許可,Webアクセス,URL許可,サイト閲覧,アクセス制限,ブロック解除,ホワイトリスト,申請書,書式,日々依頼系,書式2","申請書・Webアクセス","markdown","TRUE","2026-05-03 19:30:23","admin","12","サイトアクセス許可、Webアクセス","起案書、システム導入、セキュリティチェックシート、アプリインストール、アカウント権限、回線、プリンタ、VPN、パスワード","","False","True"
"FAQ-000017","セキュリティチェックシート入力依頼の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式2_日々依頼系_システム作業申請書.xlsxでお願いします。」でお願いします。","セキュリティチェックシート入力依頼で使用する申請書式を確認したい","セキュリティチェックシート入力,チェックシート入力依頼,セキュリティ確認,入力依頼,申請書,書式,日々依頼系,書式2","申請書・セキュリティ","markdown","TRUE","2026-05-03 19:30:23","admin","12","セキュリティチェックシート入力、入力依頼","起案書、システム導入、サイトアクセス許可、アカウント権限、機器貸与、プリンタ、VPN","","False","True"
"FAQ-000018","マイナンバー室への入室権限付与の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式2_日々依頼系_システム作業申請書.xlsxでお願いします。」でお願いします。","マイナンバー室への入室権限付与申請で使用する申請書式を確認したい","マイナンバー室,入室権限,入退室権限,入室許可,権限付与,部屋アクセス,申請書,書式,日々依頼系,書式2","申請書・入退室権限","markdown","TRUE","2026-05-03 19:30:23","admin","12","マイナンバー室、入室権限","パスワード、ロック、初期パスワード、プリンタ、VPN、起案書、サイトアクセス許可","","False","True"
"FAQ-000019","サーバルーム入室権限付与の申請書はどの書式を使用したらよいですか？","システム作業申請書「書式2_日々依頼系_システム作業申請書.xlsxでお願いします。」でお願いします。","サーバルーム入室権限付与申請で使用する申請書式を確認したい","サーバルーム,サーバ室,入室権限,入退室権限,入室許可,権限付与,申請書,書式,日々依頼系,書式2","申請書・入退室権限","markdown","TRUE","2026-05-03 19:30:23","admin","12","サーバルーム、入室権限","パスワード、ロック、初期パスワード、プリンタ、VPN、起案書、サイトアクセス許可","","False","True"
"FAQ-000020","顧客指定システム利用申請はどの書式で申請すればよいですか？","結論：顧客指定システム利用申請は「システム作業申請書（書式No.3）」を使用してください。
	FAQ-002245	情報システム責任者を指名する書面はどの書式で申請すればよいですか？	結論：情報システム責任者を指名する書面は「情報システム責任者指名書（書式No.4-1）」を使用してください。","12","12","12","markdown","TRUE","2026-05-03 19:30:23","admin","12","顧客指定システム","起案書、システム導入、サイトアクセス許可、アカウント権限、プリンタ、VPN","","False","True"
"FAQ-000021","情報システム責任者が情報システム権限者を指名する書面はどの書式で申請すればよいですか？","結論：情報システム責任者が情報システム権限者を指名する書面は「情報システム権限者指名書（書式No.4-2）」を使用してください。
	FAQ-002247	情報システム責任者から指名を受けた受諾書はどの書式で申請すればよいですか？	結論：情報システム責任者から指名を受けた受諾書は「情報システム権限者受諾書（書式No.5-1）」を使用してください。","12","12","12","markdown","TRUE","2026-05-03 19:30:23","admin","12","情報システム責任者、情報システム権限者","起案書、システム導入、サイトアクセス許可、アカウント権限、プリンタ、VPN","","False","True"
"FAQ-000022","アクセスログ台帳の書式・資料はどこにありますか？","結論：ログ確認管理簿.xlsxは「アクセスログ台帳（書式No.6-1）」を使用してください。
	FAQ-002249	テレワーク勤務に関する誓約書の書式・資料はどこにありますか？	結論：テレワーク勤務に関する誓約書.docxは「テレワーク勤務に関する誓約書（書式No.7-1）」を使用してください。","12","12","12","markdown","TRUE","2026-05-03 19:30:23","admin","12","アクセスログ台帳","起案書、システム導入、サイトアクセス許可、テレワーク、IT資産管理表、承諾書","","False","True"
"FAQ-000023","テレワーク勤務許可申請書兼システム作業申請書の書式・資料はどこにありますか？","結論：テレワーク勤務許可申請書兼システム作業申請書.docxは「テレワーク勤務許可申請書兼システム作業申請書（書式No.8-1）」を使用してください。
	FAQ-002251	テレワーク機器受領書の書式・資料はどこにありますか？	結論：テレワーク機器受領書.docxは「テレワーク機器受領書（書式No.9-1）」を使用してください。","12","12","12","markdown","TRUE","2026-05-03 19:30:23","admin","12","テレワーク勤務許可申請書","起案書、システム導入、サイトアクセス許可、アクセスログ台帳、IT資産管理表","","False","True"
"FAQ-000024","管理簿（IT資産管理表）の書式・資料はどこにありますか？","結論：IT資産管理表.xlsxは「管理簿（IT資産管理表）（書式No.10-1）」を使用してください。
	FAQ-002253	承諾書の書式・資料はどこにありますか？	結論：外部業者リモートアクセス許可申請.docxは「承諾書（書式No.11-1）」を使用してください。","12","12","12","markdown","TRUE","2026-05-03 19:30:23","admin","12","IT資産管理表、管理簿","起案書、システム導入、サイトアクセス許可、アクセスログ台帳、テレワーク","","False","True"
"FAQ-000025","起案書の書式・資料はどこにありますか？","結論：20240924実施_新起案書書式.xlsxは「起案書（書式No.12-1）」を使用してください。
	FAQ-002255	念書の書式・資料はどこにありますか？	結論：念書.docxは「念書（書式No.13-1）」を使用してください。","12","12","12","markdown","TRUE","2026-05-03 19:30:23","admin","12","起案書","システム導入、サイトアクセス許可、セキュリティチェックシート、アカウント権限、アプリインストール、回線、機器貸与、承諾書、念書、テレワーク","","False","True"
"FAQ-000026","Google検索サイトは？","下記に、Googleのサイトリンクを貼っておきます。
	FAQ-002257	Yahoo！サイトは？	下記に、Yahooのサイトリンクを貼っておきます。<br>","12","12","12","markdown","TRUE","2026-05-03 19:30:23","admin","12","Google検索、検索サイト","起案書、VPN、プリンタ、パスワード","","False","True"
"FAQ-000027","お腹が痛いです。","病院にいってください。","お腹が痛いについて対応方法を知りたい","お腹、痛い、その他、問い合わせ、確認、リンク、案内、お腹が痛い","その他","markdown","TRUE","2026-05-03 19:30:23","admin","12","お腹、体調","VPN、プリンタ","","True","False"
"FAQ-000028","ディスプレイが映りません","プライバシーシャッター、USB帯域、アプリ権限を確認してください。","ディスプレイが映りません問題を解決したい","ディスプレイ、映りません、表示されない、画面が出ない、見えない、映らない、表示崩れ、外部モニター、キーボード、マウス、ドッキングステーション、USB、ディスプレイが映りません","周辺機器","markdown","TRUE","2026-05-03 19:30:23","admin","12","アプリ、権限","","","False","True"
"FAQ-000029","市販ツールのトライアル版を試したいのですが、申請書の書式はどれですか？","書式１－２でお願いします。","市販ツールのトライアル版を試したいのですが、申請書の書式はどれの申請・手続き方法を知りたい","市販ツール、トライアル版、試したい、申請書、書式、申請方法、承認状況、購入依頼、ライセンス申請、手続き、申請、購買、承認、ライセンス","申請・購買","markdown","TRUE","2026-05-03 19:30:23","admin","12","市販ツール、トライアル","起案書、サイトアクセス許可、システム導入、アカウントロック、プリンタ、VPN、購買、購入、見積、稟議","","False","True"
"FAQ-000030","ADアカウントの初期パスワードでログインできません","本人確認後に初期パスワードの再発行を行います。初回ログインURLが正しいかも確認してください。","ADアカウントの初期パスワードでログインできません問題を解決したい","AD、ADアカウント、初期パスワード、ログイン、ログインできない、サインインできない、認証エラー、入れない、ID確認、パスワード忘れた、パスワード変更、再設定、アカウントロック、できない","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","ADアカウント、初期パスワード","Microsoft 365、Google Workspace、基幹システムID、社内ポータルID、アカウントロック、ロック、パスワード変更画面、パスワード変更、表示名、部署情報、パソコン、プリンタ","","False","True"
"FAQ-000031","ADアカウントがロックされました","連続誤入力によるロックの可能性があります。情シスで解除し、必要に応じてパスワードを再設定します。","ADアカウントがロックされました問題を解決したい","AD、ADアカウント、ロックされました、アカウントロック、ロック解除、ログイン不可、解除依頼、アカウント、ID、ユーザー、ログイン、サインイン、認証、パスワード","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","ADアカウント、ロック","Microsoft 365、Google Workspace、基幹システムID、社内ポータルID、初期パスワード、アカウントロック、パスワード変更画面、パスワード変更、表示名、部署情報、パソコン、プリンタ","ロック、パソコンロック、端末ロック","True","False"
"FAQ-000032","ADアカウントのパスワード変更画面が表示されません","SSO経由ではなく指定のパスワード変更ページから操作してください。ブラウザ再起動後も改善しない場合はご連絡ください。","ADアカウントのパスワード変更画面が表示されませんの設定・変更方法を知りたい","AD、ADアカウント、パスワード変更画面、表示されません、パスワード忘れた、パスワード変更、再設定、初期パスワード、アカウントロック、表示されない、画面が出ない、見えない、映らない、表示崩れ","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","ADアカウント、パスワード変更画面","Microsoft 365、Google Workspace、基幹システムID、社内ポータルID、初期パスワード、アカウントロック、ロック、パスワード変更、表示名、部署情報、パソコン、プリンタ","","False","True"
"FAQ-000033","ADアカウントの表示名を変更したいです","人事マスタ反映後に変更可能です。正式な氏名変更依頼が完了しているか確認してください。","ADアカウントの表示名を変更したいの設定・変更方法を知りたい","AD、ADアカウント、表示名、変更したい、表示されない、画面が出ない、見えない、映らない、表示崩れ、アカウント、ID、ユーザー、ログイン、サインイン","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","ADアカウント、表示名","Microsoft 365、Google Workspace、基幹システムID、社内ポータルID、初期パスワード、アカウントロック、ロック、パスワード変更画面、パスワード変更、部署情報、パソコン、プリンタ","","False","True"
"FAQ-000034","ADアカウントの部署情報が古いままです","人事システムとの同期タイミングにより反映が遅れる場合があります。翌営業日以降も変わらなければ情シスで確認します。","ADアカウントの部署情報が古いままについて対応方法を知りたい","AD、ADアカウント、部署情報、古いまま、アカウント、ID、ユーザー、ログイン、サインイン、認証、パスワード、ADアカウントの部署情報が古いまま","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","ADアカウント、部署情報","Microsoft 365、Google Workspace、基幹システムID、社内ポータルID、初期パスワード、アカウントロック、ロック、パスワード変更画面、パスワード変更、表示名、パソコン、プリンタ","","False","True"
"FAQ-000035","ADアカウントにサインインすると多要素認証の登録を求められます","初回利用時はMFA登録が必要です。案内手順に沿って認証アプリまたはSMSを登録してください。","ADアカウントにサインインすると多要素認証の登録を求められの設定・変更方法を知りたい","AD、ADアカウント、サインインする、多要素認証、登録、求められ、ログインできない、サインインできない、認証エラー、入れない、ID確認、設定方法、初期設定、登録方法","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","ADアカウント、多要素認証","Microsoft 365、Google Workspace、基幹システムID、社内ポータルID、初期パスワード、アカウントロック、ロック、パスワード変更画面、パスワード変更、表示名、パソコン、プリンタ","","False","True"
"FAQ-000036","ADアカウントのパスワード有効期限が切れました","期限切れの場合はセルフサービスまたは情シス依頼で再設定してください。旧パスワードの再利用制限に注意してください。","ADアカウントのパスワード有効期限が切れましたについて対応方法を知りたい","AD、ADアカウント、パスワード有効期限、切れました、パスワード忘れた、パスワード変更、再設定、初期パスワード、アカウントロック、アカウント、ID、ユーザー、ログイン、サインイン","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","ADアカウント、パスワード有効期限","Microsoft 365、Google Workspace、基幹システムID、社内ポータルID、初期パスワード、アカウントロック、ロック、パスワード変更画面、パスワード変更、表示名、パソコン、プリンタ","","False","True"
"FAQ-000037","ADアカウントに不要な権限が付与されています","権限棚卸のため対象権限名と利用理由をお知らせください。上長承認後に削除対応します。","ADアカウントに不要な権限が付与されていについて対応方法を知りたい","AD、ADアカウント、不要な権限、付与されてい、権限不足、アクセス権、共有できない、共有リンク、アカウント、ID、ユーザー、ログイン、サインイン、認証","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","ADアカウント、不要な権限","パスワード、ロック、初期パスワード、プリンタ、VPN、起案書、サイトアクセス許可","","False","True"
"FAQ-000038","ADアカウントのグループメンバーに追加されていません","申請承認状況を確認し、未反映であればグループ同期または手動追加を行います。","ADアカウントのグループメンバーに追加されていませんの設定・変更方法を知りたい","AD、ADアカウント、グループメンバー、追加されていません、アカウント、ID、ユーザー、ログイン、サインイン、認証、パスワード、ADアカウントのグループメンバーに追加されていません","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","ADアカウント、グループメンバー","パスワード、ロック、初期パスワード、プリンタ、VPN、起案書、サイトアクセス許可","","False","True"
"FAQ-000039","ADアカウントを削除してほしいです","対象アカウントの用途と退職・異動情報を確認後、関連データ保全を行ってから削除します。","ADアカウントを削除してほしいについて対応方法を知りたい","AD、ADアカウント、削除してほしい、アカウント、ID、ユーザー、ログイン、サインイン、認証、パスワード、ADアカウントを削除してほしい","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","ADアカウント、削除","Microsoft 365、Google Workspace、基幹システムID、社内ポータルID、初期パスワード、アカウントロック、ロック、パスワード変更画面、パスワード変更、表示名、パソコン、プリンタ","","False","True"
"FAQ-000040","Microsoft 365アカウントの初期パスワードでログインできません","本人確認後に初期パスワードの再発行を行います。初回ログインURLが正しいかも確認してください。","Microsoft 365アカウントの初期パスワードでログインできません問題を解決したい","Microsoft 365、Microsoft、365アカウント、初期パスワード、ログイン、ログインできない、サインインできない、認証エラー、入れない、ID確認、パスワード忘れた、パスワード変更、再設定、アカウントロック","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","Microsoft 365、初期パスワード","Google Workspace、基幹システムID、社内ポータルID、ADアカウント、アカウントロック、ロック、パスワード変更画面、パスワード変更、表示名、部署情報、パソコン、プリンタ","","False","True"
"FAQ-000041","Microsoft 365アカウントがロックされました","連続誤入力によるロックの可能性があります。情シスで解除し、必要に応じてパスワードを再設定します。","Microsoft 365アカウントがロックされました問題を解決したい","Microsoft 365、Microsoft、365アカウント、ロックされました、アカウントロック、ロック解除、ログイン不可、解除依頼、アカウント、ID、ユーザー、ログイン、サインイン、認証","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","Microsoft 365、ロック","Google Workspace、基幹システムID、社内ポータルID、ADアカウント、初期パスワード、アカウントロック、パスワード変更画面、パスワード変更、表示名、部署情報、パソコン、プリンタ","ロック、パソコンロック、端末ロック","True","False"
"FAQ-000042","Microsoft 365アカウントのパスワード変更画面が表示されません","SSO経由ではなく指定のパスワード変更ページから操作してください。ブラウザ再起動後も改善しない場合はご連絡ください。","Microsoft 365アカウントのパスワード変更画面が表示されませんの設定・変更方法を知りたい","Microsoft 365、Microsoft、365アカウント、パスワード変更画面、表示されません、パスワード忘れた、パスワード変更、再設定、初期パスワード、アカウントロック、表示されない、画面が出ない、見えない、映らない","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","Microsoft 365、パスワード変更画面","Google Workspace、基幹システムID、社内ポータルID、ADアカウント、初期パスワード、アカウントロック、ロック、パスワード変更、表示名、部署情報、パソコン、プリンタ","","False","True"
"FAQ-000043","Microsoft 365アカウントの表示名を変更したいです","人事マスタ反映後に変更可能です。正式な氏名変更依頼が完了しているか確認してください。","Microsoft 365アカウントの表示名を変更したいの設定・変更方法を知りたい","Microsoft 365、Microsoft、365アカウント、表示名、変更したい、表示されない、画面が出ない、見えない、映らない、表示崩れ、アカウント、ID、ユーザー、ログイン","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","Microsoft 365、表示名","Google Workspace、基幹システムID、社内ポータルID、ADアカウント、初期パスワード、アカウントロック、ロック、パスワード変更画面、パスワード変更、部署情報、パソコン、プリンタ","","False","True"
"FAQ-000044","Microsoft 365アカウントの部署情報が古いままです","人事システムとの同期タイミングにより反映が遅れる場合があります。翌営業日以降も変わらなければ情シスで確認します。","Microsoft 365アカウントの部署情報が古いままについて対応方法を知りたい","Microsoft 365、Microsoft、365アカウント、部署情報、古いまま、アカウント、ID、ユーザー、ログイン、サインイン、認証、パスワード、Microsoft 365アカウントの部署情報が古いまま","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","Microsoft 365、部署情報","Google Workspace、基幹システムID、社内ポータルID、ADアカウント、初期パスワード、アカウントロック、ロック、パスワード変更画面、パスワード変更、表示名、パソコン、プリンタ","","False","True"
"FAQ-000045","Microsoft 365アカウントにサインインすると多要素認証の登録を求められます","初回利用時はMFA登録が必要です。案内手順に沿って認証アプリまたはSMSを登録してください。","Microsoft 365アカウントにサインインすると多要素認証の登録を求められの設定・変更方法を知りたい","Microsoft 365、Microsoft、365アカウント、サインインする、多要素認証、登録、求められ、ログインできない、サインインできない、認証エラー、入れない、ID確認、設定方法、初期設定","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","Microsoft 365、多要素認証","Google Workspace、基幹システムID、社内ポータルID、ADアカウント、初期パスワード、アカウントロック、ロック、パスワード変更画面、パスワード変更、表示名、パソコン、プリンタ","","False","True"
"FAQ-000046","Microsoft 365アカウントのパスワード有効期限が切れました","期限切れの場合はセルフサービスまたは情シス依頼で再設定してください。旧パスワードの再利用制限に注意してください。","Microsoft 365アカウントのパスワード有効期限が切れましたについて対応方法を知りたい","Microsoft 365、Microsoft、365アカウント、パスワード有効期限、切れました、パスワード忘れた、パスワード変更、再設定、初期パスワード、アカウントロック、アカウント、ID、ユーザー、ログイン","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","Microsoft 365、パスワード有効期限","Google Workspace、基幹システムID、社内ポータルID、ADアカウント、初期パスワード、アカウントロック、ロック、パスワード変更画面、パスワード変更、表示名、パソコン、プリンタ","","False","True"
"FAQ-000047","Microsoft 365アカウントに不要な権限が付与されています","権限棚卸のため対象権限名と利用理由をお知らせください。上長承認後に削除対応します。","Microsoft 365アカウントに不要な権限が付与されていについて対応方法を知りたい","Microsoft 365、Microsoft、365アカウント、不要な権限、付与されてい、権限不足、アクセス権、共有できない、共有リンク、アカウント、ID、ユーザー、ログイン、サインイン","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","Microsoft 365、不要な権限","パスワード、ロック、初期パスワード、プリンタ、VPN、起案書、サイトアクセス許可","","False","True"
"FAQ-000048","Microsoft 365アカウントのグループメンバーに追加されていません","申請承認状況を確認し、未反映であればグループ同期または手動追加を行います。","Microsoft 365アカウントのグループメンバーに追加されていませんの設定・変更方法を知りたい","Microsoft 365、Microsoft、365アカウント、グループメンバー、追加されていません、アカウント、ID、ユーザー、ログイン、サインイン、認証、パスワード","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","Microsoft 365、グループメンバー","パスワード、ロック、初期パスワード、プリンタ、VPN、起案書、サイトアクセス許可","","False","True"
"FAQ-000049","Microsoft 365アカウントを削除してほしいです","対象アカウントの用途と退職・異動情報を確認後、関連データ保全を行ってから削除します。","Microsoft 365アカウントを削除してほしいについて対応方法を知りたい","Microsoft 365、Microsoft、365アカウント、削除してほしい、アカウント、ID、ユーザー、ログイン、サインイン、認証、パスワード、Microsoft 365アカウントを削除してほしい","アカウント管理","markdown","TRUE","2026-05-03 19:30:23","admin","12","Microsoft 365、削除","Google Workspace、基幹システムID、社内ポータルID、ADアカウント、初期パスワード、アカウントロック、ロック、パスワード変更画面、パスワード変更、表示名、パソコン、プリンタ","","False","True"
